Title,Genre,Year,Rating
Inception,"Action, Sci-Fi",2010,8.8
The Dark Knight,"Action, Crime, Drama",2008,9.0
Interstellar,"Adventure, Drama, Sci-Fi",2014,8.6
The Matrix,"Action, Sci-Fi",1999,8.7
Parasite,"Drama, Thriller",2019,8.6
The Godfather,"Crime, Drama",1972,9.2
Pulp Fiction,"Crime, Drama",1994,8.9
The Shawshank Redemption,Drama,1994,9.3
The Social Network,"Biography, Drama",2010,7.7
Avengers: Endgame,"Action, Adventure, Drama",2019,8.4
